CustomerAge,HousingTypeId,MonthlyGrossIncomeAmount,MonthlyNetIncomeAmount,ChildBirthYears,InternalAssets_PensionIns,InternalAssets_Funds,InternalAssets_Accounts,InternalAssets_UnpaidEquities,InternalDebts_Overdrawn,InternalDebts_UsedCredit,InternalDebts_Blanco,InternalDebts_Mortgage,InternalDebts_UnpaidEquities,InternalDebts_CreditCard,ExternalAssets_PensionIns,ExternalAssets_Funds,ExternalAssets_Accounts,ExternalAssets_Other,ExternalDebts_Mortgage,ExternalDebts_Blanco,ExternalDebts_CreditCard,ExternalDebts_Other,Advices_ordered
53,1,85000,49300,1,487196.33,2658031.03,2369634.3,0,0,0,1767835,0,0,31153.14,3000000,0,0,0,0,0,0,0,1
63,1,19000,15188,1,0,7004339.84,101205.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
54,1,45000,32313,1,331865.09,2448.11,18269.88,0,0,0,2100000,0,0,39409.49,0,0,0,0,0,0,0,0,7
58,2,31500,24156,0,0,0,50649,0,0,0,2300000,0,0,-0.17,0,0,0,0,0,0,0,0,2
38,2,26000,20242,1,0,0,162.43,0,0,0,0,0,0,0,0,0,0,0,1343500,0,0,350000,7
50,1,39000,29362,1,792295.01,105767.06,210191,0,0,0,1540505,0,0,0,0,0,0,0,0,0,0,0,1
48,1,45000,32313,0,0,39950.57,45610.14,0,0,0,2761200,0,0,0,0,0,1000000,0,0,0,0,0,1
45,1,34000,25912,0,563685.54,92880.78,99100.77,0,0,0,216010,0,0,0,0,0,500000,0,0,0,0,0,1
47,2,35000,26602,1,383704.2,1155280.77,618787.19,0,0,0,1323220,0,0,0,0,0,0,0,0,0,0,0,1
50,1,70000,43319,1,0,0,6256.03,0,24261.52,0,0,0,0,0,0,0,0,0,2100000,0,0,0,7
63,1,58000,38399,0,714459,4970951.69,20000,0,0,0,0,0,0,2166,0,1000000,900000,0,1000000,0,0,0,1
29,2,42009,30750,0,587838.38,190729.7,7979.4,0,0,0,0,0,0,0,0,0,440000,0,8948320,0,0,0,2
30,1,39000,29362,1,130324.67,925.4,113422.76,0,0,0,2586500,0,0,0,0,0,20000,0,0,0,0,0,3
53,2,40900,30253,0,215662.88,86093.74,34899.54,0,0,0,1845000,0,0,7428.7,0,0,0,0,0,0,0,0,9
59,1,33000,25222,1,84067.57,67147.35,121018.31,0,0,0,1242875,0,0,0,0,0,0,0,0,154701,0,0,3
30,1,28000,21686,1,1716.33,0,17542.29,0,0,0,0,0,0,0,0,0,0,1500000,0,0,0,0,7
56,1,33000,25222,0,421451.61,1155419.39,232270.81,0,0,0,569733,0,0,0,0,0,0,0,0,0,0,0,1
48,1,40000,29863,1,309493.17,181679.03,111910.66,0,0,0,1364000,0,0,8521.77,275000,0,0,0,0,209000,0,0,1
59,1,40000,29863,1,0,799.48,487135.65,0,0,0,2211930,0,0,0,0,0,0,0,0,0,0,0,1
26,3,31500,24156,0,0,0,190.49,0,0,0,0,0,0,0,0,0,30000,0,0,0,0,400000,3
24,3,10000,8612,0,0,58264.6,11776.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
74,1,60000,39219,0,5961978.81,11741566.4,6890462.2,0,86665.12,0,1983455,0,0,1369.67,0,6000000,0,0,0,0,0,0,1
28,3,22000,17354,0,54245,0,90471.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
57,1,65000,41269,0,0,638251.49,126900.82,0,0,0,0,0,0,0,0,800000,0,0,0,0,0,0,1
75,1,48000,33783,0,0,392656,52410.1,0,0,0,0,0,0,0,0,600000,650000,0,0,0,0,0,1
62,1,85000,49300,0,1861463.64,682587.54,38339.01,0,23376.77,0,3040610,0,0,0,10500000,0,0,0,0,0,0,0,9
49,2,35500,26916,1,766776.05,612298.97,422643.5,0,0,0,1592500,0,0,0,0,30000,0,30000,0,0,0,0,1
38,1,35000,26602,0,237671.7,594770.24,43984.52,0,0,0,2909640,0,0,0,0,200000,0,0,0,0,0,0,7
52,1,38503,28989,0,690128.18,101984.56,6643.53,0,0,36251,483000,0,0,0,0,0,0,0,0,0,11800,0,7
22,2,24000,18798,0,0,0,0,0,0,0,0,0,0,0,0,535000,0,0,1140000,0,0,0,9
53,3,19860,15798,0,0,0,85759.06,0,0,0,0,0,0,0,0,0,0,0,0,43000,0,0,1
44,1,49500,34467,1,431732.66,90602.29,37577.17,0,0,29148,1652325,0,0,18794.78,0,0,0,0,0,0,0,0,7
22,2,28000,21686,0,5080.98,16640.9,14610.18,0,0,0,2597834,0,0,0,0,0,0,0,0,0,0,73817,9
74,1,60000,39219,0,2063235.89,1947150.14,64130.97,0,0,0,1587825,0,0,0,0,0,0,0,0,0,0,0,7
75,1,15500,12661,0,75171.1,191335.83,13247.92,0,0,0,0,0,0,0,0,0,0,116500,0,0,0,0,7
24,4,29500,22741,0,0,68563.09,37040.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
25,3,24500,19131,0,0,0,0,0,0,0,0,0,0,0,0,100000,30000,0,0,0,0,0,3
37,2,28300,21875,0,0,25663.26,188249.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,1
43,1,42140,30881,1,66924.94,16837.95,72841.79,0,0,0,0,0,0,809.34,0,0,0,0,600000,0,0,200000,3
77,1,18000,14466,0,585688.7,602846.95,56292.18,0,0,0,757325,0,0,616,0,300000,0,0,0,0,0,0,1
44,1,46000,32803,1,250794.35,131835.7,174155.55,0,0,0,3914925,0,0,0,0,300000,0,0,0,0,0,0,1
26,2,50000,34763,0,0,0,14202.12,0,0,0,2850815,0,0,0,0,0,3195000,0,0,0,0,0,2
66,1,30000,23130,0,23411.71,0,33923.83,0,0,0,1472095,0,0,0,0,380000,0,0,0,0,0,0,9
46,1,47000,33293,0,0,66097.09,59957.58,0,0,0,1635365,0,0,0,0,0,0,0,0,0,0,0,3
54,1,47500,33487,0,355256.45,831466.55,428194.47,0,0,0,0,0,0,5167.28,0,0,0,0,0,0,0,0,1
47,1,28000,21686,1,261125.95,340335.79,218970.83,0,0,59134,2515000,0,0,17495.5,0,0,0,0,0,0,0,0,2
33,2,44600,32117,1,96325.86,162674.71,60131.13,0,0,0,3622338,0,0,7844.58,0,288000,0,0,0,0,0,0,3
43,2,54000,36643,1,7338.46,42013.8,116939.4,0,0,0,4604000,0,1000,17009.01,0,2000000,250000,0,0,0,0,0,2
38,2,91000,51870,0,182883.05,241932.04,832964.28,0,0,0,2625650,0,0,0,150000,667000,105000,0,0,0,10,0,1
82,1,20000,15910,0,0,444812,165800.33,0,0,0,800000,0,0,0,0,0,0,0,0,0,0,0,1
36,2,47900,33683,0,5339.47,17055.36,160376.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36,3,37000,27982,0,0,339248.23,442293.05,0,0,0,0,0,0,0,0,900000,0,0,0,0,0,200000,1
64,1,30000,23130,0,1175493,0,0,0,0,0,0,0,0,0,0,0,500000,0,0,0,0,0,1
74,1,48000,33783,0,0,532525.81,551568.99,0,0,0,396990,0,0,4814.88,0,0,0,0,0,0,0,0,1
24,3,27500,21297,0,0,0,12440.33,0,0,40000,0,0,0,0,0,0,20000,0,0,60000,0,0,3
52,1,80500,47495,1,5359094.48,163485.32,335937.06,0,44450.22,0,6466034,0,0,-504,0,0,0,0,0,0,0,0,1
30,2,31500,24156,1,0,0,41693.31,0,0,0,1945372,0,0,0,0,280000,100000,0,0,0,0,0,1
50,1,44500,32017,1,222741.84,0,57601.2,0,0,57128,3700000,0,0,258,0,0,0,0,0,0,0,0,7
22,3,28500,22019,0,0,0,159907.2,0,0,0,0,0,0,0,0,0,144000,0,0,0,0,0,1
69,3,14395,11862,0,0,0,151447.41,0,0,0,0,0,0,1565.68,0,0,0,0,0,0,0,0,1
34,3,22000,17354,0,0,0,107591.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26000,1
47,1,37200,28120,1,262147.52,252427.03,115626.98,0,0,0,1213625,0,0,1634.11,0,0,0,0,0,0,0,0,1
53,2,32300,24708,1,72966.5,44196.02,32400.04,0,0,0,1508467,0,0,0,0,0,0,0,0,150000,0,0,9
52,1,208000,101920,0,9164357.38,5032088.72,2103167.44,0,0,0,1000000,0,0,32550.83,0,15000000,0,0,0,0,0,0,1
30,2,22000,17354,0,9146.34,0,648852.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36,3,35000,26602,1,0,1287.19,236.54,0,0,224250,0,0,0,0,0,1500,0,5000,0,45000,0,0,7
31,3,35000,26602,0,0,27529.02,208375.34,0,0,0,0,0,0,0,0,71464,0,0,0,0,0,0,1
33,1,25300,19709,0,0,0,130533.05,0,0,0,0,0,0,0,0,0,0,0,1000000,0,0,0,1
65,3,34000,25912,0,319447.13,0,0,0,0,0,0,0,0,0,0,122000,5701000,0,0,0,4000,0,1
50,1,39565,29632,0,320793.59,501372.89,73858.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
55,1,39000,29362,0,253459.58,37202.21,986144.06,0,0,0,0,0,0,0,0,60000,0,0,1000000,0,0,0,1
23,3,28000,21686,0,0,0,57984.39,0,0,0,0,0,0,4405.37,0,0,0,0,0,0,0,200000,1
52,1,44000,31823,0,315629.47,201361.41,77294.14,0,0,0,0,0,0,0,0,0,600000,0,2600000,0,0,0,1
40,2,31500,24156,0,31513.77,30247.92,112386.61,0,0,302457,1137545,0,750,6283.19,0,0,0,0,0,0,0,0,1
23,3,31000,23842,0,0,0,7043.25,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,7
62,1,39000,29362,0,4260205.33,436295.34,178057.95,0,0,0,1354935,0,0,-846,0,0,0,0,0,0,0,0,1
54,2,55000,37103,0,928050.53,683129.33,622221.98,0,0,0,548500,0,0,2848.82,0,0,100000,0,0,0,0,0,1
35,2,51000,35253,1,60952.68,0,245899.32,0,0,0,2215510,0,0,0,0,250000,0,0,0,80000,0,0,1
68,2,50000,34763,0,21487.36,0,784012.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
42,2,500000,230000,1,0,0,84667.35,0,0,0,0,0,0,0,899996,799987,599992,0,3900000,0,0,0,1
53,1,31500,24156,1,0,73377.67,10907.6,0,0,0,1893098,0,0,0,0,0,170000,0,1825000,0,0,0,2
79,3,19000,15188,0,0,101150,339460.73,0,0,0,0,0,0,2168,0,0,0,0,0,0,0,0,1
75,1,34000,25912,0,0,4988053.15,749148.76,0,0,0,0,0,0,0,0,300000,0,0,0,0,0,0,1
38,2,30000,23130,0,256403.6,0,2542.8,0,0,0,867872,0,0,10460.73,0,0,0,0,0,0,0,0,7
58,1,60000,39219,1,385095.67,382427.67,81861.71,0,0,0,2605000,0,0,0,2800000,220000,0,110000,0,0,0,0,4
58,2,97000,54320,0,5784082.49,303387.9,990746.66,0,0,0,5599380,0,0,2764.59,0,100000,70000,230000,0,0,0,0,1
62,1,46000,32803,0,3427.76,2741197.28,1279601.15,0,0,0,542500,0,0,0,0,0,1400000,0,0,0,0,0,1
20,1,21000,16632,0,0,227.15,233800.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
47,3,32000,24532,0,172555.12,45065.16,21333.69,0,0,0,0,0,0,2371.49,0,0,0,0,990000,0,0,0,7
51,1,45000,32313,1,0,27298.63,117722.71,0,0,16806.79,5560000,0,0,0,0,0,10000,0,0,0,0,350000,4
60,3,37677,28411,0,81919.75,27918.53,8843.69,0,8295.81,51390.39,0,0,0,4080.83,0,0,0,0,0,0,0,0,7
67,1,30000,23130,0,392462.74,139562.97,6400.35,0,0,0,1976120,0,0,179.6,586000,0,0,130000,0,0,0,0,8
62,3,26000,20242,0,0,1374.82,61.95,0,0,0,0,0,0,0,160000,0,0,0,0,12000,0,0,7
51,3,44000,31823,0,216662.45,0,77480.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
53,1,57000,37989,0,447885.13,2763612.34,528507.49,0,0,0,3769772,0,0,23142,0,0,0,0,0,0,0,0,1
48,1,38800,29224,1,421952.41,203429.41,130726.95,0,0,61716.95,2658630,0,0,0,0,0,0,0,0,0,0,0,1
61,1,16000,13022,0,16255.51,105907.88,11570.83,0,3235.09,0,0,0,0,0,0,0,0,0,0,0,0,0,7
26,1,25759,20057,1,0,3359.27,331292.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
45,2,50176,34837,1,0,0,107172.41,0,0,0,0,0,0,0,0,0,600000,0,1500000,0,0,0,1
